county,race,candidate,votes
Elko,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,126
Elko,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",1464
Elko,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",577
Elko,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,533
Elko,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",333
Elko,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",271
Elko,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",171
Elko,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",1746
Elko,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",1102
Elko,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,471
Elko,STATE TREASURER (REPUBLICAN),"BEERS, BOB",2257
Elko,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",607
Elko,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,446
Elko,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",550
Elko,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",193
Elko,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,144
Elko,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",2034
Elko,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",957
Elko,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,357
Elko,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)","ELLISON, JOHN C. (INCUMBENT)",2741
Elko,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)","JOHNSON, CHRIS J.",673
Elko,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",1320
Elko,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",987
Elko,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",800
Elko,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,775
Elko,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",483
Elko,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",396
Elko,"SCHOOL BOARD OF TRUSTEES, DISTRICT 2 (NONPARTISAN)","CRACRAFT-DICKENSON, TAMMIE",4364
Elko,"SCHOOL BOARD OF TRUSTEES, DISTRICT 7 (NONPARTISAN)","WINES, IRA T. (INCUMBENT)",4489
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2 (NONPARTISAN)","RAY, BRIAN",45
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2 (NONPARTISAN)","CHRISTENSEN, MICHAEL",39
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2 (NONPARTISAN)","ORTEGA, MARIA G.",39
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2 (NONPARTISAN)","SANTILLANEZ, CAROLYN",25
Elko,CARLIN JUSTICE OF THE PEACE (NONPARTISAN),"FEASEL, TERI (INCUMBENT)",171
Elko,EASTLINE JUSTICE OF THE PEACE (NONPARTISAN),"BOATMAN, BRIAN E. (INCUMBENT)",134
Elko,WELLS JUSTICE OF THE PEACE (NONPARTISAN),"CALTON, KENNY",266
Elko,WELLS JUSTICE OF THE PEACE (NONPARTISAN),"THORNAL, SHAUNIA",130
Elko,WELLS JUSTICE OF THE PEACE (NONPARTISAN),"SWETT, NOAH J.",52
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",11
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",11
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,10
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",3
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",3
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",2
Esmeralda,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",1
Esmeralda,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",109
Esmeralda,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",38
Esmeralda,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",28
Esmeralda,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,14
Esmeralda,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",1
Esmeralda,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",1
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","HORSFORD, STEVEN A.",17
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","SPEARMAN, PATRICIA ""PAT""",7
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ANZALONE, JOHN",5
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","ZELLER, SID",5
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","VILELA, AMY",4
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (DEMOCRATIC)","STEPHENS, ALLISON",3
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","HARDY, CRESENT",79
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","GIBBS, DAVID GLENN",37
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","TOWNSEND, BILL",25
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","WEGNER, KENNETH A.",17
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MONROE, MIKE",11
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 4 (REPUBLICAN)","MILLER, JEFF",8
Esmeralda,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,12
Esmeralda,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",10
Esmeralda,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",8
Esmeralda,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",5
Esmeralda,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",3
Esmeralda,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",3
Esmeralda,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",1
Esmeralda,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",138
Esmeralda,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,16
Esmeralda,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",11
Esmeralda,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",9
Esmeralda,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",9
Esmeralda,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",6
Esmeralda,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",2
Esmeralda,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",0
Esmeralda,GOVERNOR (REPUBLICAN),"LUSAK, STAN",0
Esmeralda,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",18
Esmeralda,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",17
Esmeralda,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,7
Esmeralda,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",69
Esmeralda,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,43
Esmeralda,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",28
Esmeralda,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",22
Esmeralda,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",15
Esmeralda,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",9
Esmeralda,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",102
Esmeralda,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",55
Esmeralda,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,25
Esmeralda,STATE TREASURER (REPUBLICAN),"BEERS, BOB",108
Esmeralda,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",41
Esmeralda,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,35
Esmeralda,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",15
Esmeralda,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",15
Esmeralda,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,11
Esmeralda,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",118
Esmeralda,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",44
Esmeralda,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,22
Esmeralda,"STATE ASSEMBLY, DISTRICT 32 (REPUBLICAN)","HANSEN, ALEXIS M.",129
Esmeralda,"STATE ASSEMBLY, DISTRICT 32 (REPUBLICAN)","FRANSWAY, TOM",47
Esmeralda,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,81
Esmeralda,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",58
Esmeralda,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",56
Esmeralda,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",31
Esmeralda,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",25
Esmeralda,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",20
Esmeralda,"UNIVERSITY BOARD OF REGENTS, DISTRICT 9 (NONPARTISAN)","DEL CARLO, CAROL (INCUMBENT)",231
Esmeralda,"COUNTY COMMISSIONER, DISTRICT 1 (REPUBLICAN)","STEZAKER, MARK",44
Esmeralda,"COUNTY COMMISSIONER, DISTRICT 1 (REPUBLICAN)","BATES, MICHELLE ""MICKI"" (INCUMBENT)",22
Esmeralda,"COUNTY COMMISSIONER, DISTRICT 1 (REPUBLICAN)","HIGGINS, PRESTON ""P.K.""",14
Esmeralda,"SCHOOL BOARD, SEAT A (NONPARTISAN)","BROWNFIELD, CARL V. (INCUMBENT)",252
Esmeralda,"SCHOOL BOARD, SEAT C (NONPARTISAN)","HARTMAN, MARCIA",253
Esmeralda,SHERIFF (NONPARTISAN),"ELGAN, KEN (INCUMBENT)",174
Esmeralda,SHERIFF (NONPARTISAN),"BOTELER, JD",84
Esmeralda,SHERIFF (NONPARTISAN),"GIOVE, TONY",34
Esmeralda,JUSTICE OF THE PEACE (NONPARTISAN),"JOHNSON, DANIELLE ""DANIE"" (INCUMBENT)",241
Eureka,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",29
Eureka,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,12
Eureka,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",5
Eureka,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",2
Eureka,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",2
Eureka,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",2
Eureka,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",2
Eureka,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",309
Eureka,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",65
Eureka,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,41
Eureka,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",14
Eureka,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",13
Eureka,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",5
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",12
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",11
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",10
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",9
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",5
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",3
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",274
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",87
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",56
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",13
Eureka,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",17
Eureka,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",14
Eureka,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,11
Eureka,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",6
Eureka,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",3
Eureka,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",2
Eureka,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",0
Eureka,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",311
Eureka,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,44
Eureka,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",28
Eureka,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",24
Eureka,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",19
Eureka,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",14
Eureka,GOVERNOR (REPUBLICAN),"LUSAK, STAN",3
Eureka,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",2
Eureka,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",1
Eureka,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",38
Eureka,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",10
Eureka,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,6
Eureka,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",157
Eureka,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,119
Eureka,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",55
Eureka,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",45
Eureka,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",40
Eureka,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",19
Eureka,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",224
Eureka,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",120
Eureka,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,92
Eureka,STATE TREASURER (REPUBLICAN),"BEERS, BOB",269
Eureka,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,96
Eureka,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",69
Eureka,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",33
Eureka,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",11
Eureka,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,9
Eureka,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",227
Eureka,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",133
Eureka,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,76
Eureka,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)","ELLISON, JOHN C. (INCUMBENT)",335
Eureka,"STATE ASSEMBLY, DISTRICT 33 (REPUBLICAN)","JOHNSON, CHRIS J.",94
Eureka,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,189
Eureka,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",123
Eureka,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",118
Eureka,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",69
Eureka,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",46
Eureka,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",22
Eureka,CLERK RECORDER (REPUBLICAN),"HOEHNE, LISA L.",266
Eureka,CLERK RECORDER (REPUBLICAN),"CLONINGER, JENNIFER",178
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A (NONPARTISAN)","HICKS, ROBIN (INCUMBENT)",205
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A (NONPARTISAN)","IZZOLO, JIM",144
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A (NONPARTISAN)","FITZWATER, MELISSA",144
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A (NONPARTISAN)","ANDERSON, ASHLEY E.",82
Eureka,"TELEVISION DISTRICT DIRECTOR, SEAT 4C (NONPARTISAN)","BROWN, ELDON R.",520
Eureka,SHERIFF (NONPARTISAN),"WATTS, JESSE",294
Eureka,SHERIFF (NONPARTISAN),"SANDERS, KENNETH ""KENNY""",182
Eureka,SHERIFF (NONPARTISAN),"CANTRELL, PATRICK SHANE",110
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",245
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,72
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",31
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",18
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",12
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",8
Humboldt,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",8
Humboldt,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",933
Humboldt,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",320
Humboldt,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,49
Humboldt,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",36
Humboldt,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",32
Humboldt,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",7
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",85
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",79
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","KOBLE, CLINT",67
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SCHOFIELD JR., JACK L.",47
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","ALM, VANCE",42
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",32
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","AMODEI, MARK E. (INCUMBENT)",988
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","ANGLE, SHARRON",256
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","BECK, JOEL",94
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (REPUBLICAN)","LUETKEHANS, IAN",20
Humboldt,GOVERNOR (DEMOCRATIC),"GIUNCHIGLIANI, CHRISTINA ""CHRIS G""",148
Humboldt,GOVERNOR (DEMOCRATIC),"SISOLAK, STEVE",142
Humboldt,GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,60
Humboldt,GOVERNOR (DEMOCRATIC),"BONAVENTURA, JOHN",20
Humboldt,GOVERNOR (DEMOCRATIC),"JONES, DAVID E.",13
Humboldt,GOVERNOR (DEMOCRATIC),"THORNS, HENRY",10
Humboldt,GOVERNOR (DEMOCRATIC),"DEWAN, ASHEESH",5
Humboldt,GOVERNOR (REPUBLICAN),"LAXALT, ADAM PAUL",1010
Humboldt,GOVERNOR (REPUBLICAN),"SCHWARTZ, DAN",111
Humboldt,GOVERNOR (REPUBLICAN),"CARLISLE, STEPHANIE",85
Humboldt,GOVERNOR (REPUBLICAN),"FISHER, JARED L.",55
Humboldt,GOVERNOR (REPUBLICAN),"BOYD, WILLIAM ""BILL""",52
Humboldt,GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,49
Humboldt,GOVERNOR (REPUBLICAN),"CONQUEST, FREDERICK L.",5
Humboldt,GOVERNOR (REPUBLICAN),"DUNDAS, EDWARD F.",3
Humboldt,GOVERNOR (REPUBLICAN),"LUSAK, STAN",3
Humboldt,LIEUTENANT GOVERNOR (DEMOCRATIC),"MARSHALL, KATE",288
Humboldt,LIEUTENANT GOVERNOR (DEMOCRATIC),"HANSEN, LAURIE L.",57
Humboldt,LIEUTENANT GOVERNOR (DEMOCRATIC),NONE OF THESE CANDIDATES,52
Humboldt,LIEUTENANT GOVERNOR (REPUBLICAN),"ROBERSON, MICHAEL",486
Humboldt,LIEUTENANT GOVERNOR (REPUBLICAN),"JONES, BRENT A.",315
Humboldt,LIEUTENANT GOVERNOR (REPUBLICAN),NONE OF THESE CANDIDATES,220
Humboldt,LIEUTENANT GOVERNOR (REPUBLICAN),"HOOVER, EUGENE",134
Humboldt,LIEUTENANT GOVERNOR (REPUBLICAN),"LAFATA, SCOTT ANTHONY",94
Humboldt,LIEUTENANT GOVERNOR (REPUBLICAN),"MEYERS, GARY ANTHONY",91
Humboldt,SECRETARY OF STATE (REPUBLICAN),"CEGAVSKE, BARBARA K. (INCUMBENT)",808
Humboldt,SECRETARY OF STATE (REPUBLICAN),"ALDRIDGE, ERNEST C.",337
Humboldt,SECRETARY OF STATE (REPUBLICAN),NONE OF THESE CANDIDATES,178
Humboldt,STATE TREASURER (REPUBLICAN),"BEERS, BOB",876
Humboldt,STATE TREASURER (REPUBLICAN),"UEHARA, DEREK",237
Humboldt,STATE TREASURER (REPUBLICAN),NONE OF THESE CANDIDATES,202
Humboldt,ATTORNEY GENERAL (DEMOCRATIC),"FORD, AARON",234
Humboldt,ATTORNEY GENERAL (DEMOCRATIC),"MACKIE, STUART J.",80
Humboldt,ATTORNEY GENERAL (DEMOCRATIC),NONE OF THESE CANDIDATES,77
Humboldt,ATTORNEY GENERAL (REPUBLICAN),"DUNCAN, WES",779
Humboldt,ATTORNEY GENERAL (REPUBLICAN),"MUELLER, CRAIG",401
Humboldt,ATTORNEY GENERAL (REPUBLICAN),NONE OF THESE CANDIDATES,149
Humboldt,"STATE ASSEMBLY, DISTRICT 32 (REPUBLICAN)","FRANSWAY, TOM",809
Humboldt,"STATE ASSEMBLY, DISTRICT 32 (REPUBLICAN)","HANSEN, ALEXIS M.",541
Humboldt,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","ABERASTURI, LEON",514
Humboldt,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","CADISH, ELISSA",414
Humboldt,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)",NONE OF THESE CANDIDATES,332
Humboldt,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","TAO, JERRY",296
Humboldt,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","RUTLEDGE, JOHN",273
Humboldt,"SUPREME COURT JUSTICE, SEAT C (NONPARTISAN)","LEFEBVRE, ALAN J.",91
Humboldt,"HOSPITAL BOARD TRUSTEE, SEAT E (NONPARTISAN)","MILLER, MICHELLE",1724
Humboldt,"SCHOOL BOARD TRUSTEE, SEAT B (NONPARTISAN)","DEPUTY, GLENDA J. (INCUMBENT)",1745
Humboldt,"SCHOOL BOARD TRUSTEE, SEAT G (NONPARTISAN)","BENGOCHEA, NICOLE H. (INCUMBENT)",1776
Humboldt,SHERIFF (NONPARTISAN),"ALLEN, MIKE (INCUMBENT)",1763
Lander,UNITED STATES SENATOR (DEMOCRATIC),"ROSEN, JACKY",128
Lander,UNITED STATES SENATOR (DEMOCRATIC),NONE OF THESE CANDIDATES,53
Lander,UNITED STATES SENATOR (DEMOCRATIC),"KNIGHT, DAVID DREW",22
Lander,UNITED STATES SENATOR (DEMOCRATIC),"RHEINHART, ALLEN",17
Lander,UNITED STATES SENATOR (DEMOCRATIC),"MAHENDRA, SUJEET ""BOBBY""",7
Lander,UNITED STATES SENATOR (DEMOCRATIC),"BURLEIGH, DANNY",6
Lander,UNITED STATES SENATOR (DEMOCRATIC),"SBAIH, JESSE",5
Lander,UNITED STATES SENATOR (REPUBLICAN),"HELLER, DEAN (INCUMBENT)",598
Lander,UNITED STATES SENATOR (REPUBLICAN),"HECK, TOM",198
Lander,UNITED STATES SENATOR (REPUBLICAN),NONE OF THESE CANDIDATES,94
Lander,UNITED STATES SENATOR (REPUBLICAN),"BROOKS, SHERRY",49
Lander,UNITED STATES SENATOR (REPUBLICAN),"GAZALA, SARAH",37
Lander,UNITED STATES SENATOR (REPUBLICAN),"HARRELL, VIC",10
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","FOGARTY, PATRICK",63
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","SHEPHERD, RICK",46
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DISTRICT 2 (DEMOCRATIC)","HURLEY, JESSE DOUGLAS",32
