county,race,party,candidate,votes
McDonald,U.S. Senator,Republican,Fred Ryman,59
McDonald,U.S. Senator,Republican,Christina Smith,161
McDonald,U.S. Senator,Republican,Kristi Nichols,243
McDonald,U.S. Senator,Republican,Bradley Krembs,35
McDonald,U.S. Senator,Republican,Ken Patterson,132
McDonald,U.S. Senator,Republican,Brian G. Hagg,23
McDonald,U.S. Senator,Republican,Courtland Sykes,63
McDonald,U.S. Senator,Republican,Peter Pfeifer,71
McDonald,U.S. Senator,Democratic,Carla (Coffee) Wright,29
McDonald,U.S. Senator,Democratic,Angelica Earl,15
McDonald,U.S. Senator,Democratic,Leonard Joseph Steinman II,7
McDonald,U.S. Senator,Democratic,John Hogan,9
McDonald,U.S. Senator,Democratic,Travis Gonzalez,15
McDonald,U.S. Senator,Democratic,David Faust,17
McDonald,U.S. Senator,Democratic,Claire McCaskill,273
McDonald,U.S. Senator,Libertarian,Japheth Campbell,7
McDonald,U.S. Senator,Green,Jo Crain,0
McDonald,U.S. Senator,Green,Jerome Bauer,0
McDonald,State Auditor,Republican,Kevin M. Roach,751
McDonald,State Auditor,Republican,David Wasinger,430
McDonald,State Auditor,Republican,Paul Curtman,331
McDonald,State Auditor,Republican,Saundra McDowell,824
McDonald,State Auditor,Democratic,Nicole Galloway,318
McDonald,State Auditor,Libertarian,Sean O'Toole,7
McDonald,State Auditor,Green,Don Fitz,0
McDonald,State Auditor,Constitution,Jacob Luetkemeyer,0
McDonald,U.S. Representative - District 7,Republican,Billy Long,"1,913"
McDonald,U.S. Representative - District 7,Republican,Lance Norris,185
McDonald,U.S. Representative - District 7,Republican,Benjamin Holcomb,160
McDonald,U.S. Representative - District 7,Republican,Jim Evans,428
McDonald,U.S. Representative - District 7,Democratic,Vince Jennings,54
McDonald,U.S. Representative - District 7,Democratic,John Farmer de la Torre,89
McDonald,U.S. Representative - District 7,Democratic,Jamie Daniel Schoolcraft,76
McDonald,U.S. Representative - District 7,Democratic,Kenneth Hatfield,125
McDonald,U.S. Representative - District 7,Libertarian,Benjamin T. Brixey,7
McDonald,State Representative - District 159,Republican,Mark Bartley,775
McDonald,State Representative - District 159,Republican,Dirk E. Deaton,"2,005"
McDonald,State Representative - District 159,Democratic,Jerry Sparks,320
McDonald,Circuit Judge - Circuit 40,Republican,Gregory Stremel,"2,086"
Mercer,U.S. Senator,Republican,Tony Monetti,34
Mercer,U.S. Senator,Republican,Austin Petersen,23
Mercer,U.S. Senator,Republican,Josh Hawley,236
Mercer,U.S. Senator,Republican,Fred Ryman,4
Mercer,U.S. Senator,Republican,Christina Smith,18
Mercer,U.S. Senator,Republican,Kristi Nichols,18
Mercer,U.S. Senator,Republican,Bradley Krembs,3
Mercer,U.S. Senator,Republican,Ken Patterson,7
Mercer,U.S. Senator,Republican,Brian G. Hagg,10
Mercer,U.S. Senator,Republican,Courtland Sykes,9
Mercer,U.S. Senator,Republican,Peter Pfeifer,13
Mercer,U.S. Senator,Democratic,Carla (Coffee) Wright,8
Mercer,U.S. Senator,Democratic,Angelica Earl,2
Mercer,U.S. Senator,Democratic,Leonard Joseph Steinman II,2
Mercer,U.S. Senator,Democratic,John Hogan,5
Mercer,U.S. Senator,Democratic,Travis Gonzalez,2
Mercer,U.S. Senator,Democratic,David Faust,2
Mercer,U.S. Senator,Democratic,Claire McCaskill,61
Mercer,U.S. Senator,Libertarian,Japheth Campbell,1
Mercer,U.S. Senator,Green,Jo Crain,0
Mercer,U.S. Senator,Green,Jerome Bauer,0
Mercer,State Auditor,Republican,Kevin M. Roach,102
Mercer,State Auditor,Republican,David Wasinger,43
Mercer,State Auditor,Republican,Paul Curtman,59
Mercer,State Auditor,Republican,Saundra McDowell,119
Mercer,State Auditor,Democratic,Nicole Galloway,64
Mercer,State Auditor,Libertarian,Sean O'Toole,2
Mercer,State Auditor,Green,Don Fitz,0
Mercer,State Auditor,Constitution,Jacob Luetkemeyer,0
Mercer,U.S. Representative - District 6,Republican,Sam Graves,370
Mercer,U.S. Representative - District 6,Democratic,Winston Apple,24
Mercer,U.S. Representative - District 6,Democratic,Henry Robert Martin,31
Mercer,U.S. Representative - District 6,Democratic,Ed Andres,14
Mercer,U.S. Representative - District 6,Libertarian,Dan Hogan,1
Mercer,State Senator - District 12,Republican,Dan Hegeman,332
Mercer,State Senator - District 12,Democratic,Terry Richard,66
Mercer,State Representative - District 3,Republican,Danny Busick,364
Mercer,State Representative - District 3,Democratic,Joni Perry,67
Mercer,Circuit Judge - Circuit 3,Republican,Tom Alley,316
Miller,U.S. Senator,Republican,Tony Monetti,363
Miller,U.S. Senator,Republican,Austin Petersen,410
Miller,U.S. Senator,Republican,Josh Hawley,"2,441"
Miller,U.S. Senator,Republican,Fred Ryman,65
Miller,U.S. Senator,Republican,Christina Smith,234
Miller,U.S. Senator,Republican,Kristi Nichols,383
Miller,U.S. Senator,Republican,Bradley Krembs,36
Miller,U.S. Senator,Republican,Ken Patterson,224
Miller,U.S. Senator,Republican,Brian G. Hagg,45
Miller,U.S. Senator,Republican,Courtland Sykes,72
Miller,U.S. Senator,Republican,Peter Pfeifer,125
Miller,U.S. Senator,Democratic,Carla (Coffee) Wright,39
Miller,U.S. Senator,Democratic,Angelica Earl,11
Miller,U.S. Senator,Democratic,Leonard Joseph Steinman II,16
Miller,U.S. Senator,Democratic,John Hogan,28
Miller,U.S. Senator,Democratic,Travis Gonzalez,10
Miller,U.S. Senator,Democratic,David Faust,15
Miller,U.S. Senator,Democratic,Claire McCaskill,578
Miller,U.S. Senator,Libertarian,Japheth Campbell,16
Miller,U.S. Senator,Green,Jo Crain,2
Miller,U.S. Senator,Green,Jerome Bauer,2
Miller,State Auditor,Republican,Kevin M. Roach,796
Miller,State Auditor,Republican,David Wasinger,628
Miller,State Auditor,Republican,Paul Curtman,"1,341"
Miller,State Auditor,Republican,Saundra McDowell,"1,190"
Miller,State Auditor,Democratic,Nicole Galloway,600
Miller,State Auditor,Libertarian,Sean O'Toole,16
Miller,State Auditor,Green,Don Fitz,4
Miller,State Auditor,Constitution,Jacob Luetkemeyer,2
Miller,U.S. Representative - District 3,Republican,Chadwick Bicknell,800
Miller,U.S. Representative - District 3,Republican,Blaine Luetkemeyer,"3,867"
Miller,U.S. Representative - District 3,Democratic,Katy Geppert,593
Miller,U.S. Representative - District 3,Libertarian,Donald V. Stolle,15
Miller,State Senator - District 6,Republican,Mike Bernskoetter,"3,667"
Miller,State Senator - District 6,Democratic,Bryan Struebig,180
Miller,State Senator - District 6,Democratic,Nicole Thompson,320
Miller,State Senator - District 6,Democratic,Mollie Kristen Freebairn,124
Miller,State Senator - District 6,Libertarian,Steven Wilson,16
Miller,State Representative - District 58,Republican,David Wood,782
Miller,State Representative - District 59,Republican,Karen Leydens,65
Miller,State Representative - District 59,Republican,Rudy L. Veit,126
Miller,State Representative - District 59,Republican,Kendra Lane,26
Miller,State Representative - District 59,Republican,Randy Dinwiddie,70
Miller,State Representative - District 59,Republican,Rik Combs,72
Miller,State Representative - District 59,Democratic,Linda Ellen Greeson,54
Miller,State Representative - District 62,Republican,Tom Hurst,456
Miller,State Representative - District 62,Democratic,Ashley D. Fajkowski,64
Miller,State Representative - District 124,Republican,Rocky Miller,"2,539"
Miller,State Representative - District 124,Democratic,Steve Dakopolos,330
Miller,Circuit Judge - Circuit 26 Division 1,Republican,Matt Hamner,"3,615"
Mississippi,U.S. Senator,Republican,Tony Monetti,166
Mississippi,U.S. Senator,Republican,Austin Petersen,168
Mississippi,U.S. Senator,Republican,Josh Hawley,762
Mississippi,U.S. Senator,Republican,Fred Ryman,26
Mississippi,U.S. Senator,Republican,Christina Smith,129
Mississippi,U.S. Senator,Republican,Kristi Nichols,101
Mississippi,U.S. Senator,Republican,Bradley Krembs,17
Mississippi,U.S. Senator,Republican,Ken Patterson,33
Mississippi,U.S. Senator,Republican,Brian G. Hagg,15
Mississippi,U.S. Senator,Republican,Courtland Sykes,21
Mississippi,U.S. Senator,Republican,Peter Pfeifer,82
Mississippi,U.S. Senator,Democratic,Carla (Coffee) Wright,48
Mississippi,U.S. Senator,Democratic,Angelica Earl,12
Mississippi,U.S. Senator,Democratic,Leonard Joseph Steinman II,4
Mississippi,U.S. Senator,Democratic,John Hogan,27
Mississippi,U.S. Senator,Democratic,Travis Gonzalez,10
Mississippi,U.S. Senator,Democratic,David Faust,31
Mississippi,U.S. Senator,Democratic,Claire McCaskill,418
Mississippi,U.S. Senator,Libertarian,Japheth Campbell,0
Mississippi,U.S. Senator,Green,Jo Crain,0
Mississippi,U.S. Senator,Green,Jerome Bauer,0
Mississippi,State Auditor,Republican,Kevin M. Roach,322
Mississippi,State Auditor,Republican,David Wasinger,186
Mississippi,State Auditor,Republican,Paul Curtman,162
Mississippi,State Auditor,Republican,Saundra McDowell,630
Mississippi,State Auditor,Democratic,Nicole Galloway,430
Mississippi,State Auditor,Libertarian,Sean O'Toole,0
Mississippi,State Auditor,Green,Don Fitz,0
Mississippi,State Auditor,Constitution,Jacob Luetkemeyer,1
Mississippi,U.S. Representative - District 8,Republican,Jason Smith,"1,440"
Mississippi,U.S. Representative - District 8,Democratic,Kathy Ellis,471
Mississippi,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,0
Mississippi,State Representative - District 148,Republican,Holly Rehder,928
Mississippi,State Representative - District 149,Republican,Don Rone,528
Mississippi,State Representative - District 149,Democratic,Bill Burlison,165
Mississippi,Circuit Judge - Circuit 33,Democratic,Rebecca A. Reed,208
Mississippi,Circuit Judge - Circuit 33,Democratic,David A. Dolan,369
Moniteau,U.S. Senator,Republican,Tony Monetti,300
Moniteau,U.S. Senator,Republican,Austin Petersen,412
Moniteau,U.S. Senator,Republican,Josh Hawley,"1,718"
Moniteau,U.S. Senator,Republican,Fred Ryman,36
Moniteau,U.S. Senator,Republican,Christina Smith,175
Moniteau,U.S. Senator,Republican,Kristi Nichols,246
Moniteau,U.S. Senator,Republican,Bradley Krembs,14
Moniteau,U.S. Senator,Republican,Ken Patterson,90
Moniteau,U.S. Senator,Republican,Brian G. Hagg,27
Moniteau,U.S. Senator,Republican,Courtland Sykes,42
Moniteau,U.S. Senator,Republican,Peter Pfeifer,105
Moniteau,U.S. Senator,Democratic,Carla (Coffee) Wright,26
Moniteau,U.S. Senator,Democratic,Angelica Earl,14
Moniteau,U.S. Senator,Democratic,Leonard Joseph Steinman II,9
Moniteau,U.S. Senator,Democratic,John Hogan,10
Moniteau,U.S. Senator,Democratic,Travis Gonzalez,14
Moniteau,U.S. Senator,Democratic,David Faust,12
Moniteau,U.S. Senator,Democratic,Claire McCaskill,410
Moniteau,U.S. Senator,Libertarian,Japheth Campbell,4
Moniteau,U.S. Senator,Green,Jo Crain,0
Moniteau,U.S. Senator,Green,Jerome Bauer,1
Moniteau,State Auditor,Republican,Kevin M. Roach,631
Moniteau,State Auditor,Republican,David Wasinger,583
Moniteau,State Auditor,Republican,Paul Curtman,578
Moniteau,State Auditor,Republican,Saundra McDowell,969
Moniteau,State Auditor,Democratic,Nicole Galloway,453
Moniteau,State Auditor,Libertarian,Sean O'Toole,4
Moniteau,State Auditor,Green,Don Fitz,1
Moniteau,State Auditor,Constitution,Jacob Luetkemeyer,3
Moniteau,U.S. Representative - District 4,Republican,John Webb,916
Moniteau,U.S. Representative - District 4,Republican,Vicky Hartzler,"2,407"
Moniteau,U.S. Representative - District 4,Democratic,Renee Hoagenson,160
Moniteau,U.S. Representative - District 4,Democratic,Hallie J Thompson,302
Moniteau,U.S. Representative - District 4,Libertarian,Steven Koonse,3
Moniteau,U.S. Representative - District 4,Libertarian,Mark Bliss,2
Moniteau,State Senator - District 6,Republican,Mike Bernskoetter,"2,806"
Moniteau,State Senator - District 6,Democratic,Bryan Struebig,96
Moniteau,State Senator - District 6,Democratic,Nicole Thompson,281
Moniteau,State Senator - District 6,Democratic,Mollie Kristen Freebairn,76
Moniteau,State Senator - District 6,Libertarian,Steven Wilson,3
Moniteau,State Representative - District 50,Republican,Sara Walsh,"1,510"
Moniteau,State Representative - District 50,Democratic,Michela Skelton,281
Moniteau,State Representative - District 58,Republican,David Wood,"1,538"
Moniteau,Circuit Judge - Circuit 26 Division 1,Republican,Matt Hamner,"2,619"
Monroe,U.S. Senator,Republican,Tony Monetti,134
Monroe,U.S. Senator,Republican,Austin Petersen,157
Monroe,U.S. Senator,Republican,Josh Hawley,660
Monroe,U.S. Senator,Republican,Fred Ryman,27
Monroe,U.S. Senator,Republican,Christina Smith,97
Monroe,U.S. Senator,Republican,Kristi Nichols,133
Monroe,U.S. Senator,Republican,Bradley Krembs,9
Monroe,U.S. Senator,Republican,Ken Patterson,48
Monroe,U.S. Senator,Republican,Brian G. Hagg,32
Monroe,U.S. Senator,Republican,Courtland Sykes,41
Monroe,U.S. Senator,Republican,Peter Pfeifer,33
Monroe,U.S. Senator,Democratic,Carla (Coffee) Wright,55
Monroe,U.S. Senator,Democratic,Angelica Earl,24
Monroe,U.S. Senator,Democratic,Leonard Joseph Steinman II,26
Monroe,U.S. Senator,Democratic,John Hogan,72
Monroe,U.S. Senator,Democratic,Travis Gonzalez,18
Monroe,U.S. Senator,Democratic,David Faust,26
Monroe,U.S. Senator,Democratic,Claire McCaskill,517
Monroe,U.S. Senator,Libertarian,Japheth Campbell,3
Monroe,U.S. Senator,Green,Jo Crain,0
Monroe,U.S. Senator,Green,Jerome Bauer,0
Monroe,State Auditor,Republican,Kevin M. Roach,173
Monroe,State Auditor,Republican,David Wasinger,496
Monroe,State Auditor,Republican,Paul Curtman,163
Monroe,State Auditor,Republican,Saundra McDowell,412
Monroe,State Auditor,Democratic,Nicole Galloway,606
Monroe,State Auditor,Libertarian,Sean O'Toole,3
Monroe,State Auditor,Green,Don Fitz,0
Monroe,State Auditor,Constitution,Jacob Luetkemeyer,1
Monroe,U.S. Representative - District 6,Republican,Sam Graves,"1,291"
Monroe,U.S. Representative - District 6,Democratic,Winston Apple,171
Monroe,U.S. Representative - District 6,Democratic,Henry Robert Martin,322
Monroe,U.S. Representative - District 6,Democratic,Ed Andres,112
Monroe,U.S. Representative - District 6,Libertarian,Dan Hogan,3
Monroe,State Senator - District 10,Republican,Jeanie Riddle,"1,233"
Monroe,State Senator - District 10,Democratic,Ayanna Shivers,616
Monroe,State Representative - District 5,Republican,Neal R. Minor,202
Monroe,State Representative - District 5,Republican,Louis Riggs,148
Monroe,State Representative - District 5,Republican,Loren L. Graham,60
Monroe,State Representative - District 5,Republican,John Paul Tomko,15
Monroe,State Representative - District 5,Democratic,Joe Frese,111
Monroe,State Representative - District 40,Republican,Jim Hansen,921
Monroe,Circuit Judge - Circuit 10,Democratic,Rachel Bringer Shepherd,670
Montgomery,U.S. Senator,Republican,Tony Monetti,178
Montgomery,U.S. Senator,Republican,Austin Petersen,262
Montgomery,U.S. Senator,Republican,Josh Hawley,"1,108"
Montgomery,U.S. Senator,Republican,Fred Ryman,46
Montgomery,U.S. Senator,Republican,Christina Smith,155
Montgomery,U.S. Senator,Republican,Kristi Nichols,181
Montgomery,U.S. Senator,Republican,Bradley Krembs,18
Montgomery,U.S. Senator,Republican,Ken Patterson,85
Montgomery,U.S. Senator,Republican,Brian G. Hagg,34
Montgomery,U.S. Senator,Republican,Courtland Sykes,32
Montgomery,U.S. Senator,Republican,Peter Pfeifer,62
Montgomery,U.S. Senator,Democratic,Carla (Coffee) Wright,46
Montgomery,U.S. Senator,Democratic,Angelica Earl,13
Montgomery,U.S. Senator,Democratic,Leonard Joseph Steinman II,16
Montgomery,U.S. Senator,Democratic,John Hogan,15
Montgomery,U.S. Senator,Democratic,Travis Gonzalez,10
Montgomery,U.S. Senator,Democratic,David Faust,24
Montgomery,U.S. Senator,Democratic,Claire McCaskill,473
Montgomery,U.S. Senator,Libertarian,Japheth Campbell,7
Montgomery,U.S. Senator,Green,Jo Crain,1
Montgomery,U.S. Senator,Green,Jerome Bauer,0
Montgomery,State Auditor,Republican,Kevin M. Roach,467
Montgomery,State Auditor,Republican,David Wasinger,391
Montgomery,State Auditor,Republican,Paul Curtman,360
Montgomery,State Auditor,Republican,Saundra McDowell,716
Montgomery,State Auditor,Democratic,Nicole Galloway,511
Montgomery,State Auditor,Libertarian,Sean O'Toole,7
Montgomery,State Auditor,Green,Don Fitz,1
Montgomery,State Auditor,Constitution,Jacob Luetkemeyer,3
Montgomery,U.S. Representative - District 3,Republican,Chadwick Bicknell,379
Montgomery,U.S. Representative - District 3,Republican,Blaine Luetkemeyer,"1,892"
Montgomery,U.S. Representative - District 3,Democratic,Katy Geppert,506
Montgomery,U.S. Representative - District 3,Libertarian,Donald V. Stolle,7
Montgomery,State Senator - District 10,Republican,Jeanie Riddle,"2,058"
Montgomery,State Senator - District 10,Democratic,Ayanna Shivers,494
Montgomery,State Representative - District 42,Republican,Jessica Catron,621
Montgomery,State Representative - District 42,Republican,Jeff Porter,"1,699"
Montgomery,State Representative - District 42,Democratic,Joseph Widner,530
Montgomery,Circuit Judge - Circuit 12,Republican,Jason Lamb,"1,353"
Montgomery,Circuit Judge - Circuit 12,Republican,Tim Joyce,920
Morgan,U.S. Senator,Republican,Tony Monetti,224
Morgan,U.S. Senator,Republican,Austin Petersen,191
Morgan,U.S. Senator,Republican,Josh Hawley,"1,629"
Morgan,U.S. Senator,Republican,Fred Ryman,34
Morgan,U.S. Senator,Republican,Christina Smith,129
Morgan,U.S. Senator,Republican,Kristi Nichols,235
Morgan,U.S. Senator,Republican,Bradley Krembs,13
Morgan,U.S. Senator,Republican,Ken Patterson,83
Morgan,U.S. Senator,Republican,Brian G. Hagg,21
Morgan,U.S. Senator,Republican,Courtland Sykes,35
Morgan,U.S. Senator,Republican,Peter Pfeifer,44
Morgan,U.S. Senator,Democratic,Carla (Coffee) Wright,73
Morgan,U.S. Senator,Democratic,Angelica Earl,30
Morgan,U.S. Senator,Democratic,Leonard Joseph Steinman II,16
Morgan,U.S. Senator,Democratic,John Hogan,33
Morgan,U.S. Senator,Democratic,Travis Gonzalez,25
Morgan,U.S. Senator,Democratic,David Faust,27
Morgan,U.S. Senator,Democratic,Claire McCaskill,717
Morgan,U.S. Senator,Libertarian,Japheth Campbell,9
Morgan,U.S. Senator,Green,Jo Crain,1
Morgan,U.S. Senator,Green,Jerome Bauer,4
Morgan,State Auditor,Republican,Kevin M. Roach,569
Morgan,State Auditor,Republican,David Wasinger,450
Morgan,State Auditor,Republican,Paul Curtman,356
Morgan,State Auditor,Republican,Saundra McDowell,917
Morgan,State Auditor,Democratic,Nicole Galloway,788
Morgan,State Auditor,Libertarian,Sean O'Toole,10
Morgan,State Auditor,Green,Don Fitz,4
Morgan,State Auditor,Constitution,Jacob Luetkemeyer,7
Morgan,U.S. Representative - District 4,Republican,John Webb,666
Morgan,U.S. Representative - District 4,Republican,Vicky Hartzler,"2,074"
Morgan,U.S. Representative - District 4,Democratic,Renee Hoagenson,336
Morgan,U.S. Representative - District 4,Democratic,Hallie J Thompson,505
Morgan,U.S. Representative - District 4,Libertarian,Steven Koonse,4
Morgan,U.S. Representative - District 4,Libertarian,Mark Bliss,6
Morgan,State Senator - District 6,Republican,Mike Bernskoetter,"2,177"
Morgan,State Senator - District 6,Democratic,Bryan Struebig,181
Morgan,State Senator - District 6,Democratic,Nicole Thompson,505
Morgan,State Senator - District 6,Democratic,Mollie Kristen Freebairn,478
Morgan,State Senator - District 6,Libertarian,Steven Wilson,10
Morgan,State Representative - District 58,Republican,David Wood,"2,463"
Morgan,Circuit Judge - Circuit 26 Division 1,Republican,Matt Hamner,"2,145"
New Madrid,U.S. Senator,Republican,Tony Monetti,86
New Madrid,U.S. Senator,Republican,Austin Petersen,91
New Madrid,U.S. Senator,Republican,Josh Hawley,"1,019"
New Madrid,U.S. Senator,Republican,Fred Ryman,23
New Madrid,U.S. Senator,Republican,Christina Smith,62
New Madrid,U.S. Senator,Republican,Kristi Nichols,84
New Madrid,U.S. Senator,Republican,Bradley Krembs,12
New Madrid,U.S. Senator,Republican,Ken Patterson,32
New Madrid,U.S. Senator,Republican,Brian G. Hagg,9
New Madrid,U.S. Senator,Republican,Courtland Sykes,16
New Madrid,U.S. Senator,Republican,Peter Pfeifer,29
New Madrid,U.S. Senator,Democratic,Carla (Coffee) Wright,93
New Madrid,U.S. Senator,Democratic,Angelica Earl,19
New Madrid,U.S. Senator,Democratic,Leonard Joseph Steinman II,28
New Madrid,U.S. Senator,Democratic,John Hogan,99
New Madrid,U.S. Senator,Democratic,Travis Gonzalez,16
New Madrid,U.S. Senator,Democratic,David Faust,59
New Madrid,U.S. Senator,Democratic,Claire McCaskill,787
New Madrid,U.S. Senator,Libertarian,Japheth Campbell,2
New Madrid,U.S. Senator,Green,Jo Crain,1
New Madrid,U.S. Senator,Green,Jerome Bauer,0
New Madrid,State Auditor,Republican,Kevin M. Roach,389
New Madrid,State Auditor,Republican,David Wasinger,230
New Madrid,State Auditor,Republican,Paul Curtman,146
New Madrid,State Auditor,Republican,Saundra McDowell,452
New Madrid,State Auditor,Democratic,Nicole Galloway,836
New Madrid,State Auditor,Libertarian,Sean O'Toole,2
New Madrid,State Auditor,Green,Don Fitz,1
New Madrid,State Auditor,Constitution,Jacob Luetkemeyer,0
New Madrid,U.S. Representative - District 8,Republican,Jason Smith,"1,309"
New Madrid,U.S. Representative - District 8,Democratic,Kathy Ellis,844
New Madrid,U.S. Representative - District 8,Libertarian,Jonathan L. Shell,2
New Madrid,State Representative - District 149,Republican,Don Rone,"1,388"
New Madrid,State Representative - District 149,Democratic,Bill Burlison,857
New Madrid,Circuit Judge - Circuit 34,Republican,"Daniel Cornacchione, Sr.","1,064"
New Madrid,Circuit Judge - Circuit 34,Democratic,Edward Reeves,870
Newton,U.S. Senator,Republican,Tony Monetti,743
Newton,U.S. Senator,Republican,Austin Petersen,972
Newton,U.S. Senator,Republican,Josh Hawley,"5,146"
Newton,U.S. Senator,Republican,Fred Ryman,187
Newton,U.S. Senator,Republican,Christina Smith,527
Newton,U.S. Senator,Republican,Kristi Nichols,988
Newton,U.S. Senator,Republican,Bradley Krembs,85
Newton,U.S. Senator,Republican,Ken Patterson,408
Newton,U.S. Senator,Republican,Brian G. Hagg,138
Newton,U.S. Senator,Republican,Courtland Sykes,243
Newton,U.S. Senator,Republican,Peter Pfeifer,231
Newton,U.S. Senator,Democratic,Carla (Coffee) Wright,124
Newton,U.S. Senator,Democratic,Angelica Earl,83
Newton,U.S. Senator,Democratic,Leonard Joseph Steinman II,16
Newton,U.S. Senator,Democratic,John Hogan,61
Newton,U.S. Senator,Democratic,Travis Gonzalez,51
Newton,U.S. Senator,Democratic,David Faust,58
Newton,U.S. Senator,Democratic,Claire McCaskill,"1,290"
Newton,U.S. Senator,Libertarian,Japheth Campbell,20
Newton,U.S. Senator,Green,Jo Crain,10
Newton,U.S. Senator,Green,Jerome Bauer,4
Newton,State Auditor,Republican,Kevin M. Roach,"2,396"
Newton,State Auditor,Republican,David Wasinger,"1,690"
Newton,State Auditor,Republican,Paul Curtman,"1,481"
Newton,State Auditor,Republican,Saundra McDowell,"3,157"
Newton,State Auditor,Democratic,Nicole Galloway,"1,488"
Newton,State Auditor,Libertarian,Sean O'Toole,21
Newton,State Auditor,Green,Don Fitz,13
Newton,State Auditor,Constitution,Jacob Luetkemeyer,0
Newton,U.S. Representative - District 7,Republican,Billy Long,"6,558"
Newton,U.S. Representative - District 7,Republican,Lance Norris,903
Newton,U.S. Representative - District 7,Republican,Benjamin Holcomb,765
Newton,U.S. Representative - District 7,Republican,Jim Evans,"1,670"
Newton,U.S. Representative - District 7,Democratic,Vince Jennings,304
Newton,U.S. Representative - District 7,Democratic,John Farmer de la Torre,417
Newton,U.S. Representative - District 7,Democratic,Jamie Daniel Schoolcraft,348
Newton,U.S. Representative - District 7,Democratic,Kenneth Hatfield,501
Newton,U.S. Representative - District 7,Libertarian,Benjamin T. Brixey,20
Newton,State Senator - District 32,Republican,Bill White,"6,418"
Newton,State Senator - District 32,Republican,Rob O'Brian,"3,562"
Newton,State Senator - District 32,Democratic,Carolyn McGowan,"1,530"
Newton,State Senator - District 32,Green,Conon Gillis,14
Newton,State Representative - District 159,Republican,Mark Bartley,594
Newton,State Representative - District 159,Republican,Dirk E. Deaton,"1,483"
Newton,State Representative - District 159,Democratic,Jerry Sparks,240
Newton,State Representative - District 160,Republican,Raleigh Drue Ritter,"1,686"
Newton,State Representative - District 160,Republican,Ben Baker,"3,709"
Newton,State Representative - District 160,Republican,David Osborn,986
Newton,State Representative - District 160,Democratic,Angela R Thomas,973
Newton,State Representative - District 161,Republican,Lane Roberts,"1,205"
Newton,State Representative - District 161,Democratic,Elizabeth Lundstrum,338
Newton,State Representative - District 162,Republican,Robert W. Stokes,4
Newton,State Representative - District 162,Republican,Robert (Bob) Bromley,5
Newton,State Representative - District 162,Democratic,Sarah Hinkle,1
Newton,State Representative - District 162,Green,Mollie Dyer,0
Newton,Circuit Judge - Circuit 40,Republican,Gregory Stremel,"8,342"
Nodaway,U.S. Senator,Republican,Tony Monetti,178
Nodaway,U.S. Senator,Republican,Austin Petersen,170
Nodaway,U.S. Senator,Republican,Josh Hawley,"1,586"
Nodaway,U.S. Senator,Republican,Fred Ryman,27
Nodaway,U.S. Senator,Republican,Christina Smith,155
Nodaway,U.S. Senator,Republican,Kristi Nichols,210
Nodaway,U.S. Senator,Republican,Bradley Krembs,24
Nodaway,U.S. Senator,Republican,Ken Patterson,90
Nodaway,U.S. Senator,Republican,Brian G. Hagg,58
Nodaway,U.S. Senator,Republican,Courtland Sykes,33
Nodaway,U.S. Senator,Republican,Peter Pfeifer,68
Nodaway,U.S. Senator,Democratic,Carla (Coffee) Wright,43
Nodaway,U.S. Senator,Democratic,Angelica Earl,26
Nodaway,U.S. Senator,Democratic,Leonard Joseph Steinman II,14
Nodaway,U.S. Senator,Democratic,John Hogan,44
Nodaway,U.S. Senator,Democratic,Travis Gonzalez,11
Nodaway,U.S. Senator,Democratic,David Faust,39
Nodaway,U.S. Senator,Democratic,Claire McCaskill,895
Nodaway,U.S. Senator,Libertarian,Japheth Campbell,8
Nodaway,U.S. Senator,Green,Jo Crain,2
Nodaway,U.S. Senator,Green,Jerome Bauer,1
Nodaway,State Auditor,Republican,Kevin M. Roach,572
Nodaway,State Auditor,Republican,David Wasinger,375
Nodaway,State Auditor,Republican,Paul Curtman,284
Nodaway,State Auditor,Republican,Saundra McDowell,"1,035"
Nodaway,State Auditor,Democratic,Nicole Galloway,888
Nodaway,State Auditor,Libertarian,Sean O'Toole,9
Nodaway,State Auditor,Green,Don Fitz,3
Nodaway,State Auditor,Constitution,Jacob Luetkemeyer,3
Nodaway,U.S. Representative - District 6,Republican,Sam Graves,"2,503"
Nodaway,U.S. Representative - District 6,Democratic,Winston Apple,249
Nodaway,U.S. Representative - District 6,Democratic,Henry Robert Martin,441
Nodaway,U.S. Representative - District 6,Democratic,Ed Andres,281
Nodaway,U.S. Representative - District 6,Libertarian,Dan Hogan,11
Nodaway,State Senator - District 12,Republican,Dan Hegeman,"2,381"
Nodaway,State Senator - District 12,Democratic,Terry Richard,917
Nodaway,State Representative - District 1,Republican,Allen Andrews,"2,587"
Nodaway,State Representative - District 1,Democratic,Paul Taylor,920
Nodaway,Circuit Judge - Circuit 4,Republican,Roger Prokes,"2,487"
Oregon,U.S. Senator,Republican,Tony Monetti,65
Oregon,U.S. Senator,Republican,Austin Petersen,82
Oregon,U.S. Senator,Republican,Josh Hawley,843
Oregon,U.S. Senator,Republican,Fred Ryman,23
Oregon,U.S. Senator,Republican,Christina Smith,94
Oregon,U.S. Senator,Republican,Kristi Nichols,92
Oregon,U.S. Senator,Republican,Bradley Krembs,18
Oregon,U.S. Senator,Republican,Ken Patterson,63
Oregon,U.S. Senator,Republican,Brian G. Hagg,20
